"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin",Percent2
A. Morin,Chuao,1015,2013,70%,France,4,Trinitario,Venezuela,70
Adi,Vanua Levu,705,2011,60%,Fiji,2.75,Trinitario,Fiji,60
Adi,"Vanua Levu, Toto-A",705,2011,80%,Fiji,3.25,Trinitario,Fiji,80
Adi,Vanua Levu,705,2011,88%,Fiji,3.5,Trinitario,Fiji,88
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72%,Fiji,3.5,Trinitario,Fiji,72
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75%,Switzerland,3.75,Trinitario,Indonesia,75
Alain Ducasse,Trinite,1215,2014,65%,France,2.75,Trinitario,Trinidad,65
Alain Ducasse,Vietnam,1215,2014,75%,France,2.75,Trinitario,Vietnam,75
Alain Ducasse,Madagascar,1215,2014,75%,France,3,Trinitario,Madagascar,75
Alain Ducasse,Chuao,1061,2013,75%,France,2.5,Trinitario,Venezuela,75
Alexandre,Tien Giang,1944,2017,70%,Netherlands,3.5,Trinitario,Vietnam,70
Altus aka Cao Artisan,Conacado,1125,2013,60%,U.S.A.,3,Trinitario,Dominican Republic,60
Amano,Chuao,544,2010,70%,U.S.A.,3,Trinitario,Venezuela,70
Amano,Madagascar,129,2007,70%,U.S.A.,3.5,Trinitario,Madagascar,70
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73%,Peru,3.5,Trinitario,Peru,73
Ambrosia,Belize,1494,2015,64%,Canada,3,Trinitario,Belize,64
Ambrosia,Madagascar,1494,2015,66%,Canada,3.25,Trinitario,Madagascar,66
Amedei,Chuao,111,2007,70%,Italy,5,Trinitario,Venezuela,70
Amedei,Ecuador,123,2007,70%,Italy,3,Trinitario,Ecuador,70
Amedei,Jamaica,123,2007,70%,Italy,3,Trinitario,Jamaica,70
Amedei,Grenada,123,2007,70%,Italy,3.5,Trinitario,Grenada,70
Amedei,Trinidad,129,2007,70%,Italy,3.5,Trinitario,Trinidad,70
Ara,Madagascar,1375,2014,75%,France,3,Trinitario,Madagascar,75
Arete,San Juan,1724,2016,70%,U.S.A.,3.5,Trinitario,Trinidad,70
Arete,Tien Giang,1900,2016,73%,U.S.A.,3.5,Trinitario,Vietnam,73
Arete,Maya Mountain,1598,2015,70%,U.S.A.,3.75,Trinitario,Belize,70
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72%,U.K.,3.25,Trinitario,Trinidad,72
Artisan du Chocolat,Jamaica,531,2010,72%,U.K.,3.75,Trinitario,Jamaica,72
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72%,U.K.,3.25,Trinitario,Vietnam,72
Artisan du Chocolat,Java,355,2009,72%,U.K.,2.75,Trinitario,Indonesia,72
Artisan du Chocolat,Dominican Republic,363,2009,72%,U.K.,3.25,Trinitario,Dominican Republic,72
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72%,U.K.,2.75,Trinitario,Colombia,72
Askinosie,Mababa,1780,2016,68%,U.S.A.,3.75,Trinitario,Tanzania,68
Askinosie,"Tenende, Uwate",647,2011,72%,U.S.A.,3.75,Trinitario,Tanzania,72
Askinosie,Cortes,661,2011,70%,U.S.A.,3.75,Trinitario,Honduras,70
Askinosie,Davao,331,2009,77%,U.S.A.,3.75,Trinitario,Philippines,77
Askinosie,Xoconusco,141,2007,75%,U.S.A.,2.5,Trinitario,Mexico,75
Bahen & Co.,Sambirano,995,2012,70%,Australia,3,Trinitario,Madagascar,70
Bar Au Chocolat,Sambirano,983,2012,70%,U.S.A.,3.75,Trinitario,Madagascar,70
Belyzium,"Belize south, low fermentation",1768,2016,83%,Germany,2.75,Trinitario,Belize,83
Belyzium,Belize south,1768,2016,78%,Germany,3,Trinitario,Belize,78
Belyzium,Belize south,1768,2016,83%,Germany,3.5,Trinitario,Belize,83
Benoit Nihant,Baracoa,1141,2013,74%,Belgium,3.5,Trinitario,Cuba,74
Benoit Nihant,Rio Peripa H.,1141,2013,73%,Belgium,4,Trinitario,Ecuador,73
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72%,Belgium,4,Trinitario,Indonesia,72
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72%,Belgium,3.75,Trinitario,Madagascar,72
Beschle (Felchlin),Madagascar,636,2011,64%,Switzerland,3,Trinitario,Madagascar,64
